step 0: train loss 4.1676, val loss 4.1649
iter 397: loss 2.3001, time 27.56ms, mfu 0.04%
iter 398: loss 2.2165, time 27.73ms, mfu 0.04%
iter 399: loss 2.3738, time 27.68ms, mfu 0.04%
iter 400: loss 2.3360, time 27.52ms, mfu 0.05%
iter 401: loss 2.3507, time 28.31ms, mfu 0.05%
iter 402: loss 2.3684, time 27.08ms, mfu 0.05%
iter 403: loss 2.3624, time 27.90ms, mfu 0.05%
iter 404: loss 2.3436, time 28.16ms, mfu 0.05%
iter 405: loss 2.4126, time 28.42ms, mfu 0.05%
iter 406: loss 2.3425, time 27.35ms, mfu 0.05%
iter 407: loss 2.3900, time 28.10ms, mfu 0.05%
iter 408: loss 2.2759, time 27.79ms, mfu 0.05%
iter 409: loss 2.3053, time 27.54ms, mfu 0.05%
iter 410: loss 2.2766, time 27.24ms, mfu 0.05%
iter 411: loss 2.3632, time 27.86ms, mfu 0.05%
iter 412: loss 2.3453, time 27.78ms, mfu 0.05%
iter 413: loss 2.3231, time 28.93ms, mfu 0.05%
iter 414: loss 2.3479, time 27.78ms, mfu 0.05%
iter 415: loss 2.4018, time 27.74ms, mfu 0.05%
iter 416: loss 2.3273, time 27.94ms, mfu 0.05%
iter 417: loss 2.2935, time 26.34ms, mfu 0.05%
iter 418: loss 2.2811, time 25.30ms, mfu 0.05%
iter 419: loss 2.2913, time 25.49ms, mfu 0.05%
iter 420: loss 2.3765, time 25.89ms, mfu 0.05%
iter 421: loss 2.2388, time 26.14ms, mfu 0.05%
iter 422: loss 2.2910, time 27.22ms, mfu 0.05%
iter 423: loss 2.3322, time 26.00ms, mfu 0.05%
iter 424: loss 2.2708, time 25.24ms, mfu 0.05%
iter 425: loss 2.3267, time 25.21ms, mfu 0.05%
iter 426: loss 2.4085, time 25.38ms, mfu 0.05%
iter 427: loss 2.3704, time 25.57ms, mfu 0.05%
iter 428: loss 2.3067, time 26.14ms, mfu 0.05%
iter 429: loss 2.2449, time 25.07ms, mfu 0.05%
iter 430: loss 2.4063, time 25.94ms, mfu 0.05%
iter 431: loss 2.3350, time 26.67ms, mfu 0.05%
iter 432: loss 2.3398, time 27.01ms, mfu 0.05%
iter 433: loss 2.2699, time 26.63ms, mfu 0.05%
iter 434: loss 2.2916, time 25.68ms, mfu 0.05%
iter 435: loss 2.2885, time 25.19ms, mfu 0.05%
iter 436: loss 2.4051, time 24.95ms, mfu 0.05%
iter 437: loss 2.2633, time 24.75ms, mfu 0.05%
iter 438: loss 2.2877, time 27.42ms, mfu 0.05%
iter 439: loss 2.2824, time 25.79ms, mfu 0.05%
iter 440: loss 2.3555, time 25.91ms, mfu 0.05%
iter 441: loss 2.3444, time 25.65ms, mfu 0.05%
iter 442: loss 2.3542, time 27.08ms, mfu 0.05%
iter 443: loss 2.3530, time 26.97ms, mfu 0.05%
iter 444: loss 2.3526, time 26.41ms, mfu 0.05%
iter 445: loss 2.2852, time 25.76ms, mfu 0.05%
iter 446: loss 2.2861, time 25.36ms, mfu 0.05%
iter 447: loss 2.3772, time 25.45ms, mfu 0.05%
iter 448: loss 2.3755, time 25.55ms, mfu 0.05%
iter 449: loss 2.3443, time 25.40ms, mfu 0.05%
iter 450: loss 2.3408, time 25.17ms, mfu 0.05%
iter 451: loss 2.3051, time 25.76ms, mfu 0.05%
iter 452: loss 2.3532, time 26.69ms, mfu 0.05%
iter 453: loss 2.3105, time 26.09ms, mfu 0.05%
iter 454: loss 2.3415, time 25.66ms, mfu 0.05%
